time,x,y,z
2.6,33.089,39.4173,-2.25011e-08
2.62,33.089,39.4173,-2.25011e-08
2.64,33.089,39.4173,-2.25011e-08
2.66,33.089,39.4173,-2.25011e-08
2.68,33.089,39.4173,-2.25011e-08
2.7,33.089,39.4173,-2.25011e-08
2.72,33.089,39.4173,-2.25011e-08
2.74,33.089,39.4173,-2.25011e-08
2.76,33.089,39.4173,-2.25011e-08
2.78,33.089,39.4173,-2.25011e-08
2.8,33.089,39.4173,-2.25011e-08
2.82,33.089,39.4173,-2.25011e-08
2.84,33.089,39.4173,-2.25011e-08
2.86,33.089,39.4173,-2.25011e-08
2.88,33.089,39.4173,-2.25011e-08
2.9,33.089,39.4173,-2.25011e-08
2.92,33.089,39.4173,-2.25011e-08
2.94,33.089,39.4173,-2.25011e-08
2.96,33.089,39.4173,-2.25011e-08
2.98,33.089,39.4173,-2.25011e-08
3,33.089,39.4173,-2.25011e-08
3.02,33.089,39.4173,-2.25011e-08
3.04,33.089,39.4173,-2.25011e-08
3.06,33.089,39.4173,-2.25011e-08
3.08,33.089,39.4173,-2.25011e-08
3.1,33.089,39.4173,-2.25011e-08
3.12,33.089,39.4173,-2.25011e-08
3.14,33.089,39.4173,-2.25011e-08
3.16,33.089,39.4173,-2.25011e-08
3.18,33.089,39.4173,-2.25011e-08
3.2,33.089,39.4173,-2.25011e-08
3.22,33.089,39.4173,-2.25011e-08
3.24,33.089,39.4173,-2.25011e-08
3.26,33.089,39.4173,-2.25011e-08
3.28,33.089,39.4173,-2.25011e-08
3.3,33.089,39.4173,-2.25011e-08
3.32,33.089,39.4173,-2.25011e-08
3.34,33.089,39.4173,-2.25011e-08
3.36,33.089,39.4173,-2.25011e-08
3.38,33.089,39.4173,-2.25011e-08
3.4,33.089,39.4173,-2.25011e-08
3.42,33.089,39.4173,-2.25011e-08
3.44,33.089,39.4173,-2.25011e-08
3.46,33.089,39.4173,-2.25011e-08
3.48,33.089,39.4173,-2.25011e-08
3.5,33.089,39.4173,-2.25011e-08
3.52,33.089,39.4173,-2.25011e-08
3.54,33.089,39.4173,-2.25011e-08
3.56,33.089,39.4173,-2.25011e-08
3.58,33.089,39.4173,-2.25011e-08
3.6,33.089,39.4173,-2.25011e-08
3.62,33.089,39.4173,-2.25011e-08
3.64,33.089,39.4173,-2.25011e-08
3.66,33.089,39.4173,-2.25011e-08
3.68,33.089,39.4173,-2.25011e-08
3.7,33.089,39.4173,-2.25011e-08
3.72,33.089,39.4173,-2.25011e-08
3.74,33.089,39.4173,-2.25011e-08
3.76,33.089,39.4173,-2.25011e-08
3.78,33.089,39.4173,-2.25011e-08
3.8,33.089,39.4173,-2.25011e-08
3.82,33.089,39.4173,-2.25011e-08
3.84,33.089,39.4173,-2.25011e-08
3.86,33.089,39.4173,-2.25011e-08
3.88,33.089,39.4173,-2.25011e-08
3.9,33.089,39.4173,-2.25011e-08
3.92,33.089,39.4173,-2.25011e-08
3.94,33.089,39.4173,-2.25011e-08
3.96,33.089,39.4173,-2.25011e-08
3.98,33.089,39.4173,-2.25011e-08
4,33.089,39.4173,-2.25011e-08
4.02,33.089,39.4173,-2.25011e-08
4.04,33.089,39.4173,-2.25011e-08
4.06,33.089,39.4173,-2.25011e-08
4.08,33.089,39.4173,-2.25011e-08
4.1,33.089,39.4173,-2.25011e-08
4.12,33.089,39.4173,-2.25011e-08
4.14,33.089,39.4173,-2.25011e-08
4.16,33.089,39.4173,-2.25011e-08
4.18,33.089,39.4173,-2.25011e-08
4.2,33.089,39.4173,-2.25011e-08
4.22,33.089,39.4173,-2.25011e-08
4.24,33.089,39.4173,-2.25011e-08
4.26,33.089,39.4173,-2.25011e-08
4.28,33.089,39.4173,-2.25011e-08
4.3,33.089,39.4173,-2.25011e-08
4.32,33.089,39.4173,-2.25011e-08
4.34,33.089,39.4173,-2.25011e-08
4.36,33.089,39.4173,-2.25011e-08
4.38,33.089,39.4173,-2.25011e-08
4.4,33.089,39.4173,-2.25011e-08
4.42,33.089,39.4173,-2.25011e-08
4.44,33.089,39.4173,-2.25011e-08
4.46,33.089,39.4173,-2.25011e-08
4.48,33.089,39.4173,-2.25011e-08
4.5,33.089,39.4173,-2.25011e-08
4.52,33.089,39.4173,-2.25011e-08
4.54,33.089,39.4173,-2.25011e-08
4.56,33.089,39.4173,-2.25011e-08
4.58,33.089,39.4173,-2.25011e-08
4.6,33.089,39.4173,-2.25011e-08
4.62,33.089,39.4173,-2.25011e-08
4.64,33.089,39.4173,-2.25011e-08
4.66,33.089,39.4173,-2.25011e-08
4.68,33.089,39.4173,-2.25011e-08
4.7,33.089,39.4173,-2.25011e-08
4.72,33.089,39.4173,-2.25011e-08
4.74,33.089,39.4173,-2.25011e-08
4.76,33.089,39.4173,-2.25011e-08
4.78,33.089,39.4173,-2.25011e-08
4.8,33.089,39.4173,-2.25011e-08
4.82,33.089,39.4173,-2.25011e-08
4.84,33.089,39.4173,-2.25011e-08
4.86,33.089,39.4173,-2.25011e-08
4.88,33.089,39.4173,-2.25011e-08
4.9,33.089,39.4173,-2.25011e-08
4.92,33.089,39.4173,-2.25011e-08
4.94,33.089,39.4173,-2.25011e-08
4.96,33.089,39.4173,-2.25011e-08
4.98,33.089,39.4173,-2.25011e-08
5,33.089,39.4173,-2.25011e-08
5.02,33.089,39.4173,-2.25011e-08
5.04,33.089,39.4173,-2.25011e-08
5.06,33.089,39.4173,-2.25011e-08
5.08,33.089,39.4173,-2.25011e-08
5.1,33.089,39.4173,-2.25011e-08
5.12,33.089,39.4173,-2.25011e-08
5.14,33.089,39.4173,-2.25011e-08
5.16,33.089,39.4173,-2.25011e-08
5.18,33.089,39.4173,-2.25011e-08
5.2,33.089,39.4173,-2.25011e-08
5.22,33.089,39.4173,-2.25011e-08
5.24,33.089,39.4173,-2.25011e-08
5.26,33.089,39.4173,-2.25011e-08
5.28,33.089,39.4173,-2.25011e-08
5.3,33.089,39.4173,-2.25011e-08
5.32,33.089,39.4173,-2.25011e-08
5.34,33.089,39.4173,-2.25011e-08
5.36,33.089,39.4173,-2.25011e-08
5.38,33.089,39.4173,-2.25011e-08
5.4,33.089,39.4173,-2.25011e-08
5.42,33.089,39.4173,-2.25011e-08
5.44,33.089,39.4173,-2.25011e-08
5.46,33.089,39.4173,-2.25011e-08
5.48,33.089,39.4173,-2.25011e-08
5.5,33.089,39.4173,-2.25011e-08
5.52,33.089,39.4173,-2.25011e-08
5.54,33.089,39.4173,-2.25011e-08
5.56,33.089,39.4173,-2.25011e-08
5.58,33.089,39.4173,-2.25011e-08
5.6,33.089,39.4173,-2.25011e-08
5.62,33.089,39.4173,-2.25011e-08
5.64,33.089,39.4173,-2.25011e-08
5.66,33.089,39.4173,-2.25011e-08
5.68,33.089,39.4173,-2.25011e-08
5.7,33.089,39.4173,-2.25011e-08
5.72,33.089,39.4173,-2.25011e-08
5.74,33.089,39.4173,-2.25011e-08
5.76,33.089,39.4173,-2.25011e-08
5.78,33.089,39.4173,-2.25011e-08
5.8,33.089,39.4173,-2.25011e-08
5.82,33.089,39.4173,-2.25011e-08
5.84,33.089,39.4173,-2.25011e-08
5.86,33.089,39.4173,-2.25011e-08
5.88,33.089,39.4173,-2.25011e-08
5.9,33.089,39.4173,-2.25011e-08
5.92,33.089,39.4173,-2.25011e-08
5.94,33.089,39.4173,-2.25011e-08
5.96,33.089,39.4173,-2.25011e-08
5.98,33.089,39.4173,-2.25011e-08
6,33.089,39.4173,-2.25011e-08
6.02,33.089,39.4173,-2.25011e-08
6.04,33.089,39.4173,-2.25011e-08
6.06,33.089,39.4173,-2.25011e-08
6.08,33.089,39.4173,-2.25011e-08
6.1,33.089,39.4173,-2.25011e-08
6.12,33.089,39.4173,-2.25011e-08
6.14,33.089,39.4173,-2.25011e-08
